DRUG_TYPE,DRUG_DESCRIPTOR,TARGET_TYPE,TWEET_COUNT,COMPANY_TYPE,NUMBER_OF_MONTHS,MARKET_CAP,CAGR_2,CAGR_5,STATUS,HIGHEST_DEV_STAGE,THERAPY_AREA,INDICATION,MOL_TYPE,TRIAL_COUNT,PUBLIC_NEWS,PUBLICATION_COUNT,DEALS,DEAL_STATUS,DEAL_AMOUNT,DEAL_TYPE,ACQUIRED,HOT/NOT
1,14,13,0,1,0,0,0,0,2,3,8,4,8,0,1,0,0,6,0,6,0,0
1,9,14,1000,1,0,0,0,0,4,6,8,6,8,2,1,21317,3,1,217,10,0,1
1,7,19,64,2,0,5840.68,0,0,8,9,4,15,8,0,2,1207,0,6,0,6,0,1
1,14,16,14,1,0,0,0,0,2,3,8,18,6,0,0,2772,5,1,242.59,3,0,0
1,14,18,46,2,18,636.42,-21.6,-9.296,4,5,8,6,6,2,0,659,8,1,206.5,3,0,1
1,3,13,0,1,0,0,0,0,2,3,8,4,3,1,0,0,1,1,0.1,10,0,0
1,7,1,200,1,0,0,0,0,1,3,8,18,6,1,0,47302,11,2,487.4,3,0,0
1,7,19,64,2,0,207760.7,84.67,27.808,4,5,4,15,9,1,0,1207,0,6,0,6,0,1
1,14,14,1000,1,0,0,0,0,8,9,8,6,6,0,0,21317,0,6,0,6,0,1
1,4,2,10,1,0,0,0,0,2,3,8,4,8,0,0,30495,2,1,0,5,0,0
1,14,13,0,2,0,150.77,-79.728,-47.185,2,3,8,4,1,0,3,0,18,2,401.3,3,0,0
1,7,19,64,2,82,202097,169.431,48.655,4,6,4,15,8,22,0,1207,18,1,0,1,0,1
1,13,13,0,1,0,0,0,0,2,3,8,4,6,0,1,0,0,1,0,6,0,0
1,13,1,200,2,0,81.34,-59.179,-30.12,2,3,8,4,6,0,0,47302,6,3,314.5,3,0,0
1,4,13,0,1,0,0,0,0,2,3,8,18,1,0,0,0,2,1,226.3,3,0,0
1,7,19,64,2,0,41211.66,788.267,139.562,4,6,8,6,8,6,66,1207,22,2,46403,3,1,1
